Name,Meaning
Antony,Worthy of praise
Arnold,Eagle power
Atul,Incomparable
Bablo,Father's child
Baldwin,Bold friend
Baren,Strong as a bear
Basil,Royal kingly
Bernard,Brave as a bear
Blaise,Stammerer
Boniface,Doer of good
Boris,Fighter
Brandon,Sword
Cajetan,From Gaeta
Carl,Free man
Carlos,Free man
Claude,Lame
Clifford,Ford by a cliff
Clive,Cliff
Clovis,Famous battle
Colbert,Bright victory
Colin,Cub
Conrad,Brave counsel
Constant,Steadfast
Cosme,Order beauty
Cyprian,From Cyprus
Dale,Valley
Damien,To tame subdue
Darryl,Beloved
Dean,Valley
Denis,Follower of Dionysus
Dennis,Follower of Dionysus
Denzil,From the high fort
Derrick,People ruler
Desmond,From south Munster
Diago,Supplanter
Dias,Days
Digby,Settlement by the ditch
Dillon,Like a lion
Dino,Little sword
Donald,World ruler
Douglas,Dark water
Armaan,
Barun,
Bhavin,
Brijesh,
Charun,
Daivey,
Deval,
Devyan,
Devesh,
Dharma,
Divit,
Eshaan,
Gaman,
Hunar,
Illesh,
Ishir,
Jahan,
Jairaj,
Jayesh,
Jiyan,
Kahan,
Kaiyen,
Karam,
Kriyan,
Mayan,
Mivan,
Nayan,
Niket,
Nilam,
Nishan,
Niyam,
Onkar,
Panna,
Pravin,
Priyam,
Revan,
Ridhan,
Riyan,
Roshan,
Sachiv,
Samit,
Sanjit,
Sayan,
Sharma,
Shikhar,
Sohum,
Suman,
Sundar,
Suresh,
Taral,
Tushar,
Uttar,
Vardan,
Vihan,
Vipin,
Vivan,
Zian,
Baldev,
Edhas,
Haroon,
Kairav,
Kavish,
Moksh,
Nirmay,
Rithvik,
Swapnil,
Tavish,
Aravind,
Bhavatu,
Chitaksh,
Hredhan,
Jitendra,
Kalidas,
Prabhakar,
Samardh,
Zeeshan,
Asim,
Elil,
Hari,
Hira,
Ijay,
Jaya,
Lal,
Manu,
Ohas,
Ohm,
Ovi,
Parv,
Pran,
Tala,
Tej,
Vasu,
Ari,
Kalpen,
Anil,
Dilip,
Hrithik,
Laksh,
Sajan,
Samay,
Siddh,
Tarak,
Aum,
Bhagvant,
Giritra,
Harit,
Jagan,
Kapil,
Omkareswar,
Parin,
Shivay,
Yogish,
Avyan,
Ayansh,
Ivaan,
Malhar,
barjraj,
ramdin verma,
sharat chandran,
birender mandal,
amit,
kushal,
kasid,
shiv prakash,
vikram singh,
sanjay,
abhi,
ram dutt gupta,
khadak singh,
gurmit singh,
chanderpal,
aman,
khursid,
rajeev,
durgesh,
nahar singh,
ram kumar,
sunder paal,
maansingh aswal,
rohit,
sparsh,
santosh,
punit khandelwal,
dinesh,
gulshan,
arvind kumar yadav,
nausad,
md. afsar,
shiv shakti singh,
moti lal,
kausal kumar,
mohabbat ali,
raj kumar,
jaswant singh,
sevak   pitambar lal,
chotelal,
rupesh,
midda,
dharam singh,
manoj yadav   manoj,
ram singh,
preetam kumar,
sarain,
pankaj kumar,
sheak shakir,
riyasat ali,
vinit katariya,
sumit,
arindra,
kali charan,
badshya khan,
vikash,
devinder chadda,
mohan singh,
hemant,
shivam,
yash mittal,
aakash,
chandesh,
sumit mitra,
supriyal sen,
gajender singh   goldy,
pooran chand sharma,
irfan,
azaruddin,
mukul yadav,
manoj,
sanjay charee,
raja babu,
pawan,
sandeep,
rajkumar chawla,
parvesh,
mohd ataullah,
neeraj kumar,
jamil khan,
yogita,
rijul aggarwal,
mohd shakib,
rahul kumar,
rajender,
suraj,
rizwan,
md mustafa,
har parsad,
deepak,
rahul,
abhishekh,
shelender yadav,
ankit,
mohd aakib,
surender singh chauhan,
arjun,
rahul sharma,
keshar ansari,
raju   chhotu,
kuldeep singh,
santlal golu,
lalit rana,
pulkit sharma,
aman soni   badal,
jahoor ahmed meer,
tammanne,
kailash kumar,
bhagwati prasad,
ajay,
silender,
akhilesh,
dipendra kumar,
nitin,
doodhnath pandit,
aslam allam,
jitender kumar,
adnan,
vijay,
yogesh,
kabir,
sarvesh,
rakesh sarkar,
akash gupta,
pintu thakur,
vivek,
mohd khairul,
farmaan khan,
vansu dev,
shyam kumar,
shafibul,
lalit kathuriya,
pooran chand,
aamir hussain,
kamal jit singh,
shiv kumar,
mayank chaudhary   rahul,
som dutt,
bablu regar,
rajkumar,
mubarik,
niraj,
sarbjeet   ronak,
axat,
anubhav shrivastab,
akkash,
himanshu,
harsh dagar,
anil kumar,
vijay virmani,
vivek auhari,
sachin,
subhash chand bhatia,
bhupender,
raghunandan das,
ajay kumar,
yognder,
subhash,
arun   vicky,
vikas,
vinod,
salman,
mohan kumar,
sandeep meghawal,
imamudeen,
sandeep kumar,
tarjan,
murari,
ramvilash,
jagdish,
vishal   moni,
mohd shahid,
kuldeep,
talim,
nanku prasad,
bhola sarkar,
balraj,
ravindra kumar,
rohit kumar,
uttam kumar   sanki,
babalu sen,
rustam shah,
sukhdev,
b vikjay kumar,
gopal sharma,
beeru,
vipin,
manish garg,
guddu,
jatin   sonu,
amit kumar,
shadab,
rakesh,
abhishek,
gulfam,
phoolwati   phoolo devi,
mohit maan,
veer bhan singh,
dinesh kumar,
amarjeet,
satyadev,
mohd. mukhtaar,
rishi,
esrail khan,
suresh kumar,
pankaj chand,
ajay narayan,
mohit   himanshu,
saddam,
nikhleshwar bhagat,
jai singh,
sunil kumar,
ram kishan,
arun,
virender,
bishun,
pritam singh,
kishan,
mohd kausar,
harman singh,
rajbir,
vinod lal,
chander shaker,
krishan,
ram ji,
jony,
mohammad ali,
ashok kumar s/o,
ravinder   bacchi,
guman singh basyal,
amardeep,
bharat,
azaz,
raja kumar,
parveen,
mahabir prasad,
kartik   kaku,
shubham yadav,
madan,
rashid,
jitender,
pawan kumar,
pintu kumar,
deep,
dharmbir,
rishi kakdia,
kunal   kannu,
arman ansari,
avinsh,
karan,
sagar,
nikhil,
raman,
sujen manjhi,
abhijeet,
anshu,
sahil,
aditya som,
gaurav,
sunil,
ravi kumar,
shankar kumar,
vishvash,
sonia,
kayamuddin,
nandkishore karpenter,
lala bhai,
kishan rai,
mahender kumar,
mohd afzal,
satender,
shiv prasad singh,
mobin,
khokan sarkar,
krisana braman,
vipol,
mohd miraj ansari,
rajmani,
harbir singh,
mohan,
farid,
yuvraj kumar,
charan jeet singh,
satish kumar,
gappu,
nazeem,
aamir,
vivek sharma,
gutam,
prakul,
birjesh,
sahil tigga,
girishi chand,
pavan sharma,
ikramuddin,
sajan,
molu,
dilawar,
naval kishore,
ajahar,
sanjeev,
raman ralhan,
prem chand,
sandhaya,
ashish,
jang bahadur,
om parkash ahuja,
kamre alam,
md. raju,
satpal,
ram pyare,
suraj singh,
ashfaq,
shaid,
vikas gupta,
vijay singh,
hari ram,
manoj kumar,
parash das,
mehraj,
chetan,
bhanwar lal,
sanavvar,
mustaq,
ramkaran verma,
mukhtyar hussain,
vakil,
bilal malik,
radheshyam sen,
mukesh,
sunny,
jitender rajak,
brahamprakash s/o meer singh,
raju singh,
sobit saini,
inder dutt,
shakir,
haseen ahmed,
kiran,
gulam rashul,
rajan,
ayush,
sehboob,
sanjay kumar s/o,
manish,
amit kumar yadav,
divaraj,
kamlesh,
rajiv bagoriya,
abhinav chaudhary,
devender singh,
azruddin,
sanjay kumar   pappu,
mushir ahmed,
vibhuti shyamal,
inderjeet,
golu,
lokesh,
neeraj kandari,
mukul verma,
rijakpal,
jai kishan,
munna lal jain,
jai prakash kashyap,
shishram,
parveen aggarwal,
pramod paswan,
ajit,
deelip,
aaftaab husan,
monu,
ramesh,
sawan gupta,
munna lal,
saurabh,
sarvesh kumar pandey,
avdhesh,
sohnal kumar singh,
najar hussan,
raman   rancho,
lavtar singh,
nanak chand,
harprasad sahu,
vikas kumar,
ashsish kumar,
rajesh singh,
ashu,
manjeet,
jaipal,
jalil ansari,
deepak verma,
kasim,
monu kumar,
manish kumar saket,
udham,
saurabh s/o,
ravinder,
narayan gadri,
lakshman nath,
sachin kumar,
shahid,
munna   ravi jaiswal,
ishtkar,
harish chand,
puneet jain,
rashab,
amit kumar shukla,
praful naag,
tarachand   pappu,
deepak rana,
puran singh rastogi,
narender,
lal babu prasad,
ankush,
lal chand,
pankaj,
kiran pal,
ranveer singh,
anwar,
sadab urf golu,
gorav,
raj kumar   raju,
laxmikant  kaka,
narayan parsad bhushal,
abbas,
avinash,
ravish,
hukum chand,
pappu   mahender singh,
akash tomer,
mahesh chand tiwari,
rekhai,
gajender kumar,
vashudev,
bhanwar singh,
surender sain,
akshay kumar,
goldy,
satyender   kalu,
devender,
veer,
ankush   shera,
mohd. amir,
babloo,
bhavesh dass,
gourav,
guddu rai,
yogesh rawat,
amarapal,
rajesh agarwal,
tara singh rawat,
momin,
parnav kumar,
parminder,
mustafa,
ajay haldar,
dharmender,
gaurav sethi,
suresh,
parth madan,
abhimanyu,
pawan kumar   sonu,
rohan,
raju garg,
samir mishra,
ram dayal,
jagdish chand,
kanheya,
mushrraf,
prem,
pardeep kumar,
nithyanandham,
deepak goyal,
sunil ladkani,
gopal,
mahavir,
indra sain,
soni,
arun kumar,
ashok sharma,
veer singh,
aman dahiya,
laxmi narayan,
vikram dubey,
rima,
ramjan khan,
sunder,
omparkash,
alok tiwari,
vude bhadur,
prem singh bidla,
chetanya swaroop,
pinkoo   guddu,
shardanand,
henkhochon haokip,
gaurav shankar,
shsi kant,
md. tavrej,
amrudin,
shahnawaz,
brij raj,
aman kumar,
vijay kumar,
baban   suresh,
subham kumar yadav,
sapna,
surendra,
naveen,
ram niwas,
amar,
nanhu khan,
raja ram,
rishab,
ziyabul,
jag mohan,
ritu raj kumar,
raj kapoor,
arvind agarwal   pinto,
rajbir ahlawat,
mohd faijan,
shyama,
mohd. firoz,
bhag chand,
parbhat,
aamod & pramod,
chander shekhar,
nanagram,
gautam,
govind,
pramjot singh,
abhinav vashit,
usha,
vivek chabra,
nootan prakash yadav,
surender,
chhotelal,
abdul kadir,
sambhu,
bablu,
rajender   kaku,
ram ldaike,
raju,
yasib,
sone lal shah,
chhotu harijan,
sushant,
om prakash,
manish kumar,
adersen,
mukesh kumar yogi,
gautam kumar,
hardeep   hunny,
fitrat,
pankaj saini,
manish sehrawat,
ravi chandra natarajan,
karunakar dehra,
somdath,
shiva,
rajeev jha,
vishal,
mukesh soni,
ashok kharkwal,
iswar sharan,
maj- koko khaing,
manni   manish,
sonu,
amrit patel,
tausin,
rajveer,
rupesh rathor,
dinesh singh rana,
bhrat narayn,
annu,
ombir singh,
anand,
rajesh kumar,
varun chandela,
yameen,
ravi singh,
jitendra singh,
iarfan mohammad,
vasim,
gaurav kumar,
prateek kumar tiwari,
birju,
pradeep,
raghubir singh,
ayub khan,
ram jatan,
azhar ali,
tufail,
afridi,
tahir,
ankit tiwari,
ravi,
abhay,
anuj tiwari,
vipiv malkania,
inderpal,
dinesh singh,
sanjit misra,
aasto,
charan singh,
dhansinghpuri,
chottu shah,
ram chander jha,
nirmal,
niranjan,
mantu kumar,
firakat ali,
ashshwer parsad,
akash,
andhav,
akhil kumar,
ranbir,
inderjeet mandal,
sikandar,
arjun singh,
vishal mishra,
dalip shah,
mohd. jafruddin,
satnosh,
sohan lal,
vinod kumar,
aasish kumar,
tavinder kumar,
laxman,
milan,
harishankar verma,
sri kant,
radheyshyam saini,
mohit,
damanjeet singh,
sameer,
bhushan sahay,
ramesh kumar,
samadh,
malkeet singh,
uma shankar,
kamla prasad,
mohd. iqbal,
tikku,
janesh,
lakshya chauhan   lucky,
anoop singh,
dal chand,
pushpendra singh rathore,
harpal singh,
khimanand,
akshit,
chandan kumar,
vinay,
pancham,
ritu raj,
vinay kumar upadhayay,
shekher,
abhishek yadav,
manish khandelwal,
bir singh,
rajkumar saini,
mohd sajim,
shankarlal,
neeraj kishore,
ishwar,
bilal,
ravi parkash solanki,
rohit kumar tiwari,
pramod,
manjeet kumar,
vimal kumar,
abbas mehndi,
omprkash,
deepak rathore,
masoom,
deepak kamat,
ajay   ajju,
toquir ali,
shyam sundra,
sarthak dadwal,
armaan   suvalin,
kunal kishore,
nabav shekh,
kasim ansari,
nitin parkash,
subin sugathan,
mayur agarwal,
madan lal,
vinay kumar,
ghansyam soni,
ram dutt,
sanjeev sharma,
asharam,
son pal  sonu kumar,
badri prsad mishra,
azad ali,
jorj vargees,
naresh adhikari,
deepu,
pawan singh,
aashik,
amit kumar verma,
subham   vikash,
sugodh kumar,
ashok,
satish,
munender singh,
krishan kumar,
ashutosh   deepak,
saddam hussain,
harender,
jay kumar,
mohd imran   munna,
shyam sunder,
parmod,
mangat singh,
aryan prateek,
rahul chauhan,
savan,
mohd siwam,
aarif,
rajender kumar,
manish   mukesh,
ramesh singh negi,
patik monu,
nand kishor,
rajeev luka,
sarad raghuvansi,
ram prakash,
sh pratap singh,
liyakat ali,
vicky,
bodh raj  kala,
pankaj ratori,
leela dhar narang,
chanchal,
abdul rehman,
shamshad,
bittu paswan,
shashank sharma,
hare chatiyan,
vipulander,
abdul rahman,
khuma ram,
naresh chand   pappu,
komal / kabila,
vikash   mungeri,
deepak kumar mishra,
piyush,
lakhan,
nadim,
sahdab,
tufel,
tekchand,
bobby,
tejvir,
dilip,
ravi shankar,
subodh,
pramood,
dev,
suresh tinku,
shri kant,
om parkash,
muntiyaj,
chetan pandey,
lilu,
surjeet,
sunder lal,
aman bhatt,
ratikant maghi,
deva,
firoz,
dr. hema hari pago,
raghuveer,
dheeraj,
sardar sarbjeet singh,
raman sharma,
lalit rastogi,
sita ram,
dharmbir singh,
ritik,
ketan,
angreg singh,
sitaram bairwa,
rampati,
karan bajaj,
ramsurat,
jitendra kumar,
lalit kumar,
jockyipai,
aslam ali,
suraj kumar,
murli dhar,
rehman khan,
gurdarshan singh,
ramsem,
shahrukh,
krishan gopal,
atul kumar,
shanwaz anwar,
samsuddin,
jyoti prakash,
sourav   sumit,
chain singh   ravi,
ravi   rinkku,
somender,
sorabh,
phirdos alam,
aabid,
rajneesh kumar,
shakil,
ayan khan,
rajesh naydu,
lalit,
harsh singhal,
abhinav vashishat,
amil,
sidharath,
madan jain,
milap chand,
atul,
mohit chauhan,
amar singh mahar,
ajay  mannu,
santosh pandey,
sanny kumar,
roshan,
ashish   aashu,
jeeya lal,
sachin kumal taneja,
arjun yadav,
ishant,
ramesh malik,
sagar   takla,
durganand,
chandan,
mohd parvez,
same singh,
vijay pal singh,
ramkishan gupta,
tarun sharma,
brijmohan,
dheeraj   montu,
tajuddin,
mannu yadav,
suhail,
shakti singh,
haider ali,
sok. mohmad,
pandit ram niwas,
baksi,
banwari lal bairwa,
suresh paswan   madari,
krishan lal gulyani,
devraj,
man singh,
uday partap,
rakesh kumar,
kanhaiya lal,
kripal singh,
ram naresh yadav,
nand kishore,
kaif,
shyam,
arsh,
chirag,
prince,
tarif,
lalan devi,
ali sher,
sheru khan,
bhanu pratap singh,
sanni,
vanish khan,
firoj,
ram narayan meena,
krishan  kishan,
smt sunita,
ranjeet,
traun kumar,
lokesh varma,
sushil kumar,
subhakar   bablu,
ram suresh   babloo,
prem giri pradhan ji,
praveen,
shabuddin shah,
surender singh,
dheeraj singh,
rakesh bhatia,
sanni singh,
surgayan kanwar,
rinki,
akram,
khemraj,
shri kant ghore,
neeraj,
sanjeev panday,
krishan kishore,
jatin kumar   jeetu,
shubham chauhan,
chaterpal,
